LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),,grammar rules,numberOfQuestions
scheda_di,noun,scheda,-,di,NounPPFrame,range,domain,1,dc:source,arco:HistoricOrArtisticProperty,arco-catalogue:CatalogueRecordD,Qual (arco-catalogue:CatalogueRecordD) è la scheda di arco:HistoricOrArtisticProperty,SELECT ?X WHERE { Y dc:source ?X },FALSE,FALSE,,,,,,
creazione_di,noun,creazione,-,di,NounPPFrame,range,domain,1,dc:date,arco:HistoricOrArtisticProperty,xsd:date,Quando xsd:date(X) è stata la creazione di  Y(arco:HistoricOrArtisticProperty)?,SELECT  ?X WHERE { Y <http://purl.org/dc/elements/1.1/date>  ?X .},FALSE,FALSE,,,,,,
